text,level_label,class_label
"A payment of €1,500 per annum for 15 years will be made to affected turf-cutters who have ceased cutting on raised bog SACs.",Policy Action,Spending
"The Cessation of Turf Cutting Compensation Scheme provides annual payments of €1,500 to eligible turf-cutters.",Policy Action,Spending
"Funding of €10 million per annum will be allocated to peatland restoration under the Nature for Climate Fund.",Policy Action,Spending
"Compensation packages of up to €500 per hectare will be available to landowners who enter into peatland restoration agreements.",Policy Action,Spending
"The government will provide €20 million in 2021-22 through the Farming in Protected Landscapes Programme.",Policy Action,Spending
"An annual payment of €2,000 will be provided to farmers who maintain peatland habitats in good condition.",Policy Action,Spending
"The State paid over €25 million to purchase land rights for over 2,400 hectares of raised bog.",Policy Action,Spending
"Grants of up to €5,000 per hectare will be available for peatland restoration projects under the new scheme.",Policy Action,Spending
"The compensation scheme will provide a once-off incentive payment of €500 upon signing of the legal agreement.",Policy Action,Spending
"Financial support of €8 million has been invested in peatland restoration in 2020/21.",Policy Action,Spending
"An aggregate reduction in CO2 emissions of at least 80% compared to 1990 levels by 2050 is required.",Policy Outcome,Emissions
"Peatland restoration will enable our peatlands to meet their Net Zero contribution by 2050.",Policy Outcome,Emissions
"Ireland is committed to achieving carbon neutrality by 2050 in line with EU climate objectives.",Policy Outcome,Emissions
"The restoration of degraded peatlands will reduce greenhouse gas emissions by an estimated 1 million tonnes CO2 per year.",Policy Outcome,Emissions
"Emissions from drained peatlands must be reduced by 50% by 2030 as part of national climate commitments.",Policy Action,Emissions
"The strategy aims to reduce annual carbon dioxide emissions from peat extraction by at least 30% by 2030.",Policy Action,Emissions
"Rewetting of 40,000 hectares of degraded peatland will sequester an estimated 2.5 million tonnes of CO2 equivalent annually.",Policy Outcome,Emissions
"The target is to achieve net zero greenhouse gas emissions from the land use sector by 2050.",Policy Outcome,Emissions
"Carbon emissions from peat soils will be reduced through mandatory rewetting of all drained blanket bogs by 2035.",Policy Action,Emissions
"Peatland restoration will contribute to the reduction of greenhouse gas emissions in line with the Climate Action Plan targets.",Policy Action,Emissions
"In accordance with Article 6 of the Habitats Directive, an appropriate assessment must be carried out for all plans.",Policy Action,Policy Action
"The Water Framework Directive requires member states to achieve good ecological status in all water bodies by 2027.",Policy Action,Policy Action
"Under Regulation (EU) 2018/841, member states shall ensure that emissions from the land use sector do not exceed removals.",Policy Action,Policy Action
"As required by the Birds Directive, member states shall designate Special Protection Areas for listed bird species.",Policy Action,Policy Action
"Pursuant to the Environmental Impact Assessment Directive, all projects likely to have significant effects must be assessed.",Policy Action,Policy Action
"In line with the EU Biodiversity Strategy 2030, member states shall restore at least 30% of degraded ecosystems.",Policy Action,Policy Action
"Under the UNCCD, Parties shall develop national action programmes to combat land degradation and desertification.",Policy Action,Policy Action
"The Convention on Biological Diversity requires parties to develop national biodiversity strategies and action plans.",Policy Action,Policy Action
"This measure is required under the EU Nature Restoration Law which obliges member states to restore degraded habitats.",Policy Action,Policy Action
"Member states shall report on progress towards land degradation neutrality targets under the UNCCD framework.",Policy Action,Policy Action
"Turf-cutters affected by the cessation of cutting on raised bog SACs will be provided with a relocation package.",Policy Action,Practical Resource
"The government will provide alternative turbary plots to turf-cutters who can no longer cut on designated sites.",Policy Action,Practical Resource
"Training and upskilling opportunities will be provided to peatland workers transitioning to restoration activities.",Policy Action,Practical Resource
"Affected communities will receive practical assistance including access to alternative fuel supplies during the transition period.",Policy Action,Practical Resource
"A bog rehabilitation scheme will be established to provide landowners with practical support for restoration activities.",Policy Action,Practical Resource
"The government will deliver training to farmers on sustainable peatland management practices under the new scheme.",Policy Action,Practical Resource
"Conservation officers will be deployed to assist landowners with the practical implementation of restoration plans.",Policy Action,Practical Resource
"Peat soils cover approximately 21% of the national land area, representing around 1.47 million hectares.",Unsure,Area
"Ireland has approximately 1.2 million hectares of peatland, of which around 310,000 hectares are designated as SACs.",Unsure,Area
"The original extent of raised bogs in Ireland was estimated at 311,000 hectares before drainage and cutting.",Unsure,Area
"About 9% of the land bank is already committed to wind energy use and this could grow to one-third or higher.",Unsure,Area
"Scotland's peatlands cover approximately 1.8 million hectares, representing around 23% of total land area.",Unsure,Area
"England's peatlands cover around 570,000 hectares including upland blanket bogs and lowland fens.",Unsure,Area
"The plan may be revised where appropriate to reflect new scientific evidence on peatland extent and condition.",Unsure,Miscellaneous
"Restoration of peatlands could contribute significantly to climate mitigation if implemented at sufficient scale.",Unsure,Miscellaneous
"It is noted that peatland drainage has historically been encouraged through agricultural subsidy schemes.",Unsure,Miscellaneous
"Experience has shown that voluntary approaches alone are insufficient to achieve the necessary scale of restoration.",Unsure,Miscellaneous
"Further research may be needed to determine the most effective restoration techniques for different peatland types.",Unsure,Miscellaneous
